time,speed,grade
0,0.0000,0.0
1,0.0000,0.0
2,0.0000,0.0
3,0.8941,0.0
4,2.1905,0.0
5,3.6210,0.0
6,5.0516,0.0
7,6.4821,0.0
8,7.7338,0.0
9,8.7620,0.0
10,9.7455,0.0
11,10.7290,0.0
12,11.5336,0.0
13,12.1148,0.0
14,12.5171,0.0
15,12.9642,0.0
16,13.4112,0.0
17,13.7241,0.0
18,14.0818,0.0
19,14.3947,0.0
20,14.7076,0.0
21,14.9758,0.0
22,15.2441,0.0
23,15.4676,0.0
24,15.6017,0.0
25,15.6911,0.0
26,15.9593,0.0
27,16.0487,0.0
28,16.0040,0.0
29,15.7805,0.0
30,15.6017,0.0
31,15.4229,0.0
32,15.4676,0.0
33,15.5570,0.0
34,15.6911,0.0
35,15.9593,0.0
36,16.1381,0.0
37,16.1828,0.0
38,16.3170,0.0
39,16.4064,0.0
40,16.4958,0.0
41,16.5405,0.0
42,16.5405,0.0
43,16.5405,0.0
44,16.5405,0.0
45,16.5405,0.0
46,16.5405,0.0
47,16.5852,0.0
48,16.6746,0.0
49,16.8981,0.0
50,17.2557,0.0
51,17.5687,0.0
52,17.8816,0.0
53,18.1945,0.0
54,18.5075,0.0
55,18.8651,0.0
56,19.1780,0.0
57,19.4462,0.0
58,19.6698,0.0
59,19.8039,0.0
60,19.8933,0.0
61,20.0274,0.0
62,20.0721,0.0
63,20.1168,0.0
64,20.1615,0.0
65,20.2956,0.0
66,20.4297,0.0
67,20.5638,0.0
68,20.6980,0.0
69,20.7874,0.0
70,20.9215,0.0
71,20.9662,0.0
72,21.0109,0.0
73,21.0556,0.0
74,21.1003,0.0
75,21.1450,0.0
76,21.1003,0.0
77,21.0556,0.0
78,21.0109,0.0
79,20.9662,0.0
80,20.9662,0.0
81,20.9662,0.0
82,21.0109,0.0
83,21.0556,0.0
84,21.0556,0.0
85,21.1003,0.0
86,21.0556,0.0
87,21.0109,0.0
88,20.9662,0.0
89,20.7874,0.0
90,20.6980,0.0
91,20.6532,0.0
92,20.6980,0.0
93,20.7874,0.0
94,20.9662,0.0
95,21.0556,0.0
96,21.1897,0.0
97,21.3238,0.0
98,21.4579,0.0
99,21.5473,0.0
100,21.6814,0.0
101,21.8156,0.0
102,21.9497,0.0
103,21.9944,0.0
104,21.9497,0.0
105,21.9497,0.0
106,21.9050,0.0
107,21.9050,0.0
108,21.9497,0.0
109,21.9944,0.0
110,22.0391,0.0
111,22.0838,0.0
112,22.1285,0.0
113,22.1285,0.0
114,22.1285,0.0
115,22.0838,0.0
116,21.9497,0.0
117,21.8603,0.0
118,21.7261,0.0
119,21.6367,0.0
120,21.5026,0.0
121,21.3238,0.0
122,21.1897,0.0
123,21.1450,0.0
124,21.2344,0.0
125,21.3685,0.0
126,21.4132,0.0
127,21.4579,0.0
128,21.4132,0.0
129,21.4132,0.0
130,21.4132,0.0
131,21.4579,0.0
132,21.4579,0.0
133,21.4579,0.0
134,21.4132,0.0
135,21.1450,0.0
