time,speed,grade
0,0.0000,0.0
1,0.0000,0.0
2,0.0000,0.0
3,0.0000,0.0
4,0.0000,0.0
5,0.0000,0.0
6,0.0000,0.0
7,0.0000,0.0
8,0.0000,0.0
9,0.0000,0.0
10,0.0000,0.0
11,0.0000,0.0
12,0.0000,0.0
13,0.0000,0.0
14,0.0000,0.0
15,0.0000,0.0
16,0.0000,0.0
17,0.0000,0.0
18,0.0000,0.0
19,0.0000,0.0
20,0.0000,0.0
21,0.0000,0.0
22,0.0000,0.0
23,0.0000,0.0
24,0.0000,0.0
25,0.0000,0.0
26,0.0000,0.0
27,0.0000,0.0
28,0.0000,0.0
29,0.0000,0.0
30,0.0000,0.0
31,0.0000,0.0
32,0.0000,0.0
33,0.0000,0.0
34,0.0000,0.0
35,0.0000,0.0
36,0.0000,0.0
37,0.0000,0.0
38,0.0000,0.0
39,0.0000,0.0
40,0.0000,0.0
41,0.0000,0.0
42,0.0000,0.0
43,0.0000,0.0
44,0.0000,0.0
45,0.0000,0.0
46,0.0000,0.0
47,0.1788,0.0
48,1.2517,0.0
49,2.5034,0.0
50,3.1293,0.0
51,3.3975,0.0
52,3.3975,0.0
53,2.7716,0.0
54,2.8611,0.0
55,3.3975,0.0
56,4.2469,0.0
57,3.9787,0.0
58,3.8445,0.0
59,4.2916,0.0
60,5.5433,0.0
61,6.7056,0.0
62,7.9573,0.0
63,9.3878,0.0
64,10.2372,0.0
65,9.7008,0.0
66,8.1361,0.0
67,6.4821,0.0
68,4.5598,0.0
69,2.5034,0.0
70,1.1176,0.0
71,0.9388,0.0
72,1.3858,0.0
73,2.5481,0.0
74,4.0234,0.0
75,4.8280,0.0
76,4.8280,0.0
77,4.2469,0.0
78,2.9058,0.0
79,1.7435,0.0
80,1.1623,0.0
81,0.4470,0.0
82,0.3576,0.0
83,0.0447,0.0
84,0.0000,0.0
85,0.0000,0.0
86,0.0000,0.0
87,0.0000,0.0
88,0.0000,0.0
89,0.0000,0.0
90,0.0000,0.0
91,0.0000,0.0
92,0.0000,0.0
93,0.0000,0.0
94,0.0000,0.0
95,0.0000,0.0
96,1.2070,0.0
97,3.7104,0.0
98,5.5433,0.0
99,7.0185,0.0
100,7.7785,0.0
101,7.7338,0.0
102,7.6891,0.0
103,6.7503,0.0
104,5.0068,0.0
105,3.8445,0.0
106,2.6375,0.0
107,2.4140,0.0
108,3.0399,0.0
109,3.0846,0.0
110,2.1458,0.0
111,2.5481,0.0
112,3.1740,0.0
113,3.0399,0.0
114,2.6375,0.0
115,2.6822,0.0
116,2.6822,0.0
117,2.6375,0.0
118,2.5034,0.0
119,2.4587,0.0
120,3.2187,0.0
121,4.4257,0.0
122,4.8280,0.0
123,5.0963,0.0
124,5.3198,0.0
125,5.4092,0.0
126,5.6327,0.0
127,5.4986,0.0
128,4.7386,0.0
129,4.4257,0.0
130,4.2022,0.0
131,3.9787,0.0
132,3.3975,0.0
133,2.7269,0.0
134,2.2352,0.0
135,1.6540,0.0
