time,speed,grade
0,0.0000,0.0
1,0.0000,0.0
2,0.0000,0.0
3,0.0000,0.0
4,0.0000,0.0
5,0.0000,0.0
6,0.0000,0.0
7,0.0000,0.0
8,0.0000,0.0
9,0.0000,0.0
10,0.0000,0.0
11,0.0000,0.0
12,0.0000,0.0
13,0.0000,0.0
14,0.0000,0.0
15,0.0000,0.0
16,0.0000,0.0
17,0.0000,0.0
18,0.0000,0.0
19,0.0000,0.0
20,0.0000,0.0
21,1.3411,0.0
22,2.6375,0.0
23,3.8445,0.0
24,5.1410,0.0
25,6.3927,0.0
26,7.5550,0.0
27,7.7338,0.0
28,8.0914,0.0
29,9.2537,0.0
30,9.7008,0.0
31,10.0137,0.0
32,10.0584,0.0
33,9.8796,0.0
34,9.6114,0.0
35,9.3431,0.0
36,9.1196,0.0
37,8.8514,0.0
38,7.5997,0.0
39,6.6609,0.0
40,6.6609,0.0
41,6.7950,0.0
42,6.9291,0.0
43,7.1526,0.0
44,7.6444,0.0
45,8.5385,0.0
46,9.4325,0.0
47,10.1478,0.0
48,10.2372,0.0
49,10.1478,0.0
50,10.1031,0.0
51,9.5220,0.0
52,8.4938,0.0
53,7.6444,0.0
54,7.0632,0.0
55,7.0632,0.0
56,7.9126,0.0
57,8.8514,0.0
58,9.6561,0.0
59,10.3713,0.0
60,10.8184,0.0
61,10.9972,0.0
62,11.1313,0.0
63,11.1760,0.0
64,10.9972,0.0
65,10.9525,0.0
66,11.0419,0.0
67,11.0866,0.0
68,11.0419,0.0
69,10.9972,0.0
70,10.9972,0.0
71,11.2207,0.0
72,11.4442,0.0
73,11.4889,0.0
74,11.3548,0.0
75,11.1313,0.0
76,11.1760,0.0
77,11.3548,0.0
78,11.6230,0.0
79,11.6230,0.0
80,11.4889,0.0
81,11.6677,0.0
82,11.9360,0.0
83,12.2936,0.0
84,12.7853,0.0
85,13.0983,0.0
86,13.3218,0.0
87,13.4559,0.0
88,13.5900,0.0
89,13.7241,0.0
90,13.7241,0.0
91,13.6347,0.0
92,13.5900,0.0
93,13.5453,0.0
94,13.5900,0.0
95,13.7688,0.0
96,13.5900,0.0
97,13.3665,0.0
98,13.1877,0.0
99,13.3218,0.0
100,13.5453,0.0
101,13.7241,0.0
102,13.8135,0.0
103,13.8582,0.0
104,13.8135,0.0
105,13.5900,0.0
106,13.3218,0.0
107,13.3665,0.0
108,13.5006,0.0
109,13.7241,0.0
110,13.9476,0.0
111,14.2159,0.0
112,14.3947,0.0
113,14.4841,0.0
114,14.3947,0.0
115,14.1712,0.0
116,12.7853,0.0
117,11.3101,0.0
118,9.8349,0.0
119,8.3596,0.0
120,6.8844,0.0
121,5.4092,0.0
122,3.9340,0.0
123,2.4587,0.0
124,0.9835,0.0
125,0.0000,0.0
126,0.0000,0.0
127,0.0000,0.0
128,0.0000,0.0
129,0.0000,0.0
130,0.0000,0.0
131,0.0000,0.0
132,0.0000,0.0
133,0.0000,0.0
134,0.0000,0.0
135,0.0000,0.0
