time,speed,grade
0,0.0000,0.0
1,0.0000,0.0
2,0.0000,0.0
3,0.0000,0.0
4,0.0000,0.0
5,0.0000,0.0
6,0.0894,0.0
7,0.3129,0.0
8,0.4917,0.0
9,0.7600,0.0
10,2.6822,0.0
11,6.2139,0.0
12,9.1643,0.0
13,11.4889,0.0
14,11.1760,0.0
15,12.6959,0.0
16,14.4394,0.0
17,15.4676,0.0
18,16.3170,0.0
19,17.1663,0.0
20,17.8369,0.0
21,18.8651,0.0
22,19.5804,0.0
23,19.7592,0.0
24,19.4015,0.0
25,19.0439,0.0
26,18.0157,0.0
27,17.5240,0.0
28,17.1663,0.0
29,17.1663,0.0
30,17.5240,0.0
31,17.3452,0.0
32,17.3452,0.0
33,16.3170,0.0
34,14.4394,0.0
35,12.3383,0.0
36,9.9690,0.0
37,7.7338,0.0
38,5.1410,0.0
39,2.5928,0.0
40,0.5364,0.0
41,0.0000,0.0
42,0.0000,0.0
43,0.0000,0.0
44,0.0000,0.0
45,0.0000,0.0
46,0.0000,0.0
47,0.0000,0.0
48,0.0000,0.0
49,0.3576,0.0
50,4.1128,0.0
51,6.6609,0.0
52,8.1361,0.0
53,9.9243,0.0
54,12.1595,0.0
55,14.0371,0.0
56,15.1100,0.0
57,16.6299,0.0
58,18.2392,0.0
59,19.6698,0.0
60,20.6980,0.0
61,21.2791,0.0
62,22.1285,0.0
63,22.8884,0.0
64,23.6931,0.0
65,24.3190,0.0
66,24.8554,0.0
67,25.2131,0.0
68,25.0789,0.0
69,25.1236,0.0
70,24.9448,0.0
71,24.6319,0.0
72,24.3190,0.0
73,24.2296,0.0
74,24.3190,0.0
75,24.2296,0.0
76,23.9166,0.0
77,23.3802,0.0
78,23.2461,0.0
79,23.2014,0.0
80,23.1567,0.0
81,23.2014,0.0
82,23.2461,0.0
83,23.4696,0.0
84,23.8719,0.0
85,24.5425,0.0
86,25.3919,0.0
87,26.2860,0.0
88,27.0906,0.0
89,27.8506,0.0
90,28.7000,0.0
91,29.5940,0.0
92,30.3093,0.0
93,31.0246,0.0
94,31.4716,0.0
95,31.5610,0.0
96,31.6057,0.0
97,31.4269,0.0
98,30.4881,0.0
99,29.7282,0.0
100,29.0129,0.0
101,28.4764,0.0
102,27.9400,0.0
103,27.2694,0.0
104,26.5095,0.0
105,25.7942,0.0
106,25.0342,0.0
107,24.3637,0.0
108,23.6037,0.0
109,22.8884,0.0
110,22.1285,0.0
111,21.4579,0.0
112,20.6980,0.0
113,19.6698,0.0
114,18.3733,0.0
115,17.3452,0.0
116,16.8534,0.0
117,16.3617,0.0
118,15.7805,0.0
119,13.4112,0.0
120,10.9078,0.0
121,8.8514,0.0
122,6.9291,0.0
123,4.8280,0.0
124,2.8164,0.0
125,1.4305,0.0
126,0.9388,0.0
127,0.5364,0.0
128,0.0000,0.0
129,0.0000,0.0
130,0.0000,0.0
131,0.0000,0.0
132,0.0000,0.0
133,0.0000,0.0
134,0.0000,0.0
135,0.0000,0.0
