time,speed,grade
0,31.29,0.0
1,31.29,0.0
2,31.29,0.0
3,31.29,0.0
4,31.29,0.0
5,31.29,0.0
6,31.29,0.0
7,31.29,0.0
8,31.29,0.0
9,31.29,0.0
10,31.29,0.0
11,31.29,0.0
12,31.29,0.0
13,31.29,0.0
14,31.29,0.0
15,31.29,0.0
16,31.29,0.0
17,31.29,0.0
18,31.29,0.0
19,31.29,0.0
20,31.29,0.0
21,31.29,0.0
22,31.29,0.0
23,31.29,0.0
24,31.29,0.0
25,31.29,0.0
26,31.29,0.0
27,31.29,0.0
28,31.29,0.0
29,31.29,0.0
30,31.29,0.0
31,31.29,0.0
32,31.29,0.0
33,31.29,0.0
34,31.29,0.0
35,31.29,0.0
36,31.29,0.0
37,31.29,0.0
38,31.29,0.0
39,31.29,0.0
40,31.29,0.0
41,31.29,0.0
42,31.29,0.0
43,31.29,0.0
44,31.29,0.0
45,31.29,0.0
46,31.29,0.0
47,31.29,0.0
48,31.29,0.0
49,31.29,0.0
50,31.29,0.0
51,31.29,0.0
52,31.29,0.0
53,31.29,0.0
54,31.29,0.0
55,31.29,0.0
56,31.29,0.0
57,31.29,0.0
58,31.29,0.0
59,31.29,0.0
60,31.29,0.0
61,31.29,0.0
62,31.29,0.0
63,31.29,0.0
64,31.29,0.0
65,31.29,0.0
66,31.29,0.0
67,31.29,0.0
68,31.29,0.0
69,31.29,0.0
70,31.29,0.0
71,31.29,0.0
72,31.29,0.0
73,31.29,0.0
74,31.29,0.0
75,31.29,0.0
76,31.29,0.0
77,31.29,0.0
78,31.29,0.0
79,31.29,0.0
80,31.29,0.0
81,31.29,0.0
82,31.29,0.0
83,31.29,0.0
84,31.29,0.0
85,31.29,0.0
86,31.29,0.0
87,31.29,0.0
88,31.29,0.0
89,31.29,0.0
90,31.29,0.0
91,31.29,0.0
92,31.29,0.0
93,31.29,0.0
94,31.29,0.0
95,31.29,0.0
96,31.29,0.0
97,31.29,0.0
98,31.29,0.0
99,31.29,0.0
100,31.29,0.0
101,31.29,0.0
102,31.29,0.0
103,31.29,0.0
104,31.29,0.0
105,31.29,0.0
106,31.29,0.0
107,31.29,0.0
108,31.29,0.0
109,31.29,0.0
110,31.29,0.0
111,31.29,0.0
112,31.29,0.0
113,31.29,0.0
114,31.29,0.0
115,31.29,0.0
116,31.29,0.0
117,31.29,0.0
118,31.29,0.0
119,31.29,0.0
120,31.29,0.0
121,31.29,0.0
122,31.29,0.0
123,31.29,0.0
124,31.29,0.0
125,31.29,0.0
126,31.29,0.0
127,31.29,0.0
128,31.29,0.0
129,31.29,0.0
130,31.29,0.0
131,31.29,0.0
132,31.29,0.0
133,31.29,0.0
134,31.29,0.0
135,31.29,0.0
136,31.29,0.0
137,31.29,0.0
138,31.29,0.0
139,31.29,0.0
140,31.29,0.0
141,31.29,0.0
142,31.29,0.0
143,31.29,0.0
144,31.29,0.0
145,31.29,0.0
146,31.29,0.0
