time,speed,grade
0,0.00,0.23
1,1.50,1.17
2,3.00,1.40
3,4.50,1.28
4,6.00,1.10
5,7.50,0.86
6,9.00,0.56
7,10.50,0.33
8,12.00,0.17
9,13.50,-0.36
10,15.00,-1.46
11,16.50,-3.00
12,18.00,-4.28
13,19.31,-4.94
14,18.31,-5.26
15,17.55,-5.25
16,17.02,-5.09
17,16.72,-4.81
18,16.67,-4.35
19,16.67,-3.66
20,16.67,-2.74
21,16.67,-1.75
22,16.67,-0.28
23,16.67,0.93
24,16.67,1.78
25,16.67,2.22
26,16.67,2.52
27,16.67,2.73
28,16.67,2.77
29,16.67,2.61
30,16.67,2.23
31,16.67,1.60
32,16.67,0.47
33,16.67,-0.67
34,16.67,-1.41
35,16.67,-1.83
36,16.67,-2.12
37,16.67,-2.26
38,16.67,-2.27
39,16.67,-2.15
40,16.67,-1.97
41,16.67,-1.60
42,16.67,-0.84
43,16.67,-0.16
44,16.67,0.12
45,16.67,0.33
46,16.67,0.32
47,16.67,0.51
48,16.67,0.45
49,16.67,0.38
50,16.67,0.35
51,16.67,0.42
52,16.67,0.60
53,16.67,0.90
54,16.67,1.30
55,16.67,1.62
56,16.67,2.10
57,16.67,2.30
58,16.67,1.95
59,16.67,1.36
60,16.67,0.74
61,16.67,0.10
62,16.67,-0.56
63,16.67,-1.23
64,16.67,-1.91
65,16.67,-2.61
66,16.67,-3.30
67,16.67,-3.96
68,16.67,-3.85
69,16.67,-3.51
70,16.67,-3.16
71,16.67,-2.76
72,16.67,-2.31
73,16.67,-1.83
74,16.67,-1.35
75,16.67,-0.85
76,16.67,-0.47
77,16.67,-0.19
78,16.67,0.03
79,16.67,0.15
80,16.67,0.16
81,16.67,0.17
82,16.67,0.04
83,16.67,-0.31
84,16.67,-0.53
85,16.67,-0.87
86,16.67,-1.03
87,16.67,-1.07
88,16.67,-1.03
89,16.67,-0.89
90,16.67,-0.63
91,16.67,-0.19
92,16.67,-0.08
93,16.67,0.19
94,16.67,0.31
95,16.67,0.51
96,16.67,0.61
97,16.67,0.61
98,16.67,0.50
99,16.67,0.29
100,16.67,-0.02
101,16.67,-0.58
102,16.67,-0.66
103,16.67,-0.70
104,16.67,-0.69
105,16.67,-0.64
106,16.67,-0.58
107,16.67,-0.49
108,16.67,-0.36
109,16.67,-0.20
110,16.67,0.01
111,16.67,0.21
112,16.67,0.38
113,16.67,0.23
114,16.67,0.29
115,16.67,0.54
116,16.67,0.83
117,16.67,1.12
118,16.67,1.39
119,16.67,1.66
120,16.67,1.92
121,16.67,2.17
122,16.67,2.37
123,16.67,2.67
124,16.67,2.56
125,16.67,2.04
126,16.67,1.25
127,16.67,0.14
128,16.67,-0.98
129,16.67,-2.06
130,16.67,-3.11
131,16.67,-4.13
132,16.67,-5.05
133,16.67,-5.66
134,16.67,-5.98
135,16.67,-6.00
136,16.67,-5.66
137,16.67,-4.86
138,16.67,-3.92
139,16.67,-2.94
140,16.67,-2.03
141,16.67,-1.21
142,16.67,-0.48
143,16.67,0.08
144,16.67,0.45
145,16.67,0.64
146,16.67,0.66
147,16.67,0.55
148,16.67,0.34
149,16.67,0.09
150,16.67,-0.08
151,16.67,-0.16
152,16.67,-0.17
153,16.67,-0.51
154,16.67,-0.90
155,16.67,-1.06
156,16.67,-1.16
157,16.67,-1.25
158,16.67,-1.37
159,16.67,-1.51
160,16.67,-1.67
161,16.67,-1.85
162,16.67,-2.06
163,16.67,-1.88
164,16.67,-1.60
165,16.67,-1.50
166,16.67,-1.42
167,16.67,-1.34
168,16.67,-1.27
169,16.67,-1.21
170,16.67,-1.15
171,16.67,-1.07
172,16.67,-0.98
173,16.67,-0.86
174,16.67,-0.68
175,16.67,-0.43
176,16.67,-0.10
177,16.67,0.32
178,16.67,0.80
179,16.67,1.37
180,16.67,1.66
181,16.67,2.08
182,16.67,2.58
183,17.37,3.11
184,17.92,3.51
185,18.48,3.75
186,19.03,3.83
187,19.59,3.75
188,19.44,3.52
189,19.44,3.12
190,19.44,2.92
191,19.44,2.62
192,19.44,2.27
193,19.44,1.76
194,19.44,1.23
195,19.44,0.71
196,19.44,0.26
197,19.44,-0.11
198,19.44,-0.39
199,19.44,-0.60
200,19.44,-0.72
201,19.44,-0.85
202,19.44,-1.03
203,19.44,-1.12
204,19.44,-0.98
205,19.44,-0.63
206,19.44,-0.29
207,19.44,0.04
208,19.44,0.36
209,19.44,0.66
210,19.44,0.93
211,19.44,1.16
212,19.44,1.38
213,19.44,1.58
214,19.44,1.64
215,19.44,1.57
216,19.44,1.49
217,19.44,1.42
218,19.44,1.34
219,19.44,1.27
220,19.44,1.21
221,19.44,1.19
222,19.44,1.22
223,19.44,1.28
224,19.44,1.36
225,19.44,1.44
226,19.44,1.54
227,19.44,1.65
228,19.44,1.77
229,19.44,1.90
230,19.44,2.04
231,19.44,2.15
232,19.44,2.22
233,19.44,2.27
234,19.44,2.32
235,19.44,2.37
236,19.44,2.58
237,19.44,2.72
238,19.44,2.75
239,19.44,2.66
240,19.44,2.46
241,19.44,2.15
242,19.44,1.84
243,19.44,1.64
244,19.44,1.54
245,19.44,1.79
246,19.44,1.76
247,19.44,1.77
248,19.44,2.03
249,19.44,2.47
250,19.44,3.00
251,19.44,3.58
252,19.44,4.01
253,19.44,4.21
254,19.44,4.26
255,19.44,4.05
256,19.44,3.94
