time,speed,grade
0,0.0000,0.00
1,0.8200,0.00
2,1.6400,0.00
3,2.4600,0.00
4,3.2800,0.00
5,4.1000,0.00
6,4.9200,0.00
7,5.7400,0.00
8,6.5600,0.00
9,7.3800,0.00
10,8.2000,0.00
11,9.0200,0.00
12,9.8400,0.00
13,10.6600,0.00
14,11.4800,0.00
15,12.3000,0.00
16,13.1200,0.00
17,13.9400,0.00
18,14.7600,0.00
19,15.5800,0.00
20,16.4000,0.00
21,17.2200,0.00
22,18.0400,0.00
23,18.8600,0.00
24,19.6800,0.00
25,20.5000,0.00
26,21.3200,0.00
27,22.1400,0.00
28,22.9600,0.00
29,23.7800,0.00
30,24.6000,0.00
31,24.6000,0.00
32,24.6000,0.00
33,24.6000,0.00
34,24.6000,0.00
35,24.6000,0.00
36,24.6000,0.00
37,24.6000,0.00
38,24.6000,0.00
39,24.6000,0.00
40,24.6000,0.00
41,24.6000,0.00
42,24.6000,0.00
43,24.6000,0.00
44,24.6000,0.00
45,24.6000,0.00
46,24.6000,0.00
47,24.6000,0.00
48,24.6000,0.00
49,24.6000,0.00
50,24.6000,0.00
51,24.6000,0.00
52,24.6000,0.00
53,24.6000,0.00
54,24.6000,0.00
55,24.6000,0.00
56,24.6000,0.00
57,24.6000,0.00
58,24.6000,0.00
59,24.6000,0.00
60,24.6000,1.40
61,24.8230,1.40
62,25.0460,1.40
63,25.2690,1.40
64,25.4920,1.40
65,25.7150,1.40
66,25.9380,1.40
67,26.1610,1.40
68,26.3840,1.40
69,26.6070,1.40
70,26.8300,1.40
71,27.0530,1.40
72,27.2760,1.40
73,27.4990,1.40
74,27.7220,1.40
75,27.9450,1.40
76,28.1680,1.40
77,28.3910,1.40
78,28.6140,1.40
79,28.8370,1.40
80,29.0600,1.40
81,29.0600,1.44
82,29.0600,1.47
83,29.0600,1.49
84,29.0600,1.46
85,29.0600,1.42
86,29.0600,1.33
87,29.0600,1.19
88,29.0600,1.04
89,29.0600,1.00
90,29.0600,1.00
91,29.0600,1.00
92,29.0600,1.00
93,29.0600,1.00
94,29.0600,1.01
95,29.0600,1.08
96,29.0600,1.16
97,29.0600,1.26
98,29.0600,1.40
99,29.0600,1.54
100,29.0600,1.69
101,29.0600,1.83
102,29.0600,1.98
103,29.0600,2.03
104,29.0600,2.07
105,29.0600,2.10
106,29.0600,2.10
107,29.0600,2.10
108,29.0600,2.10
109,29.0600,2.10
110,29.0600,2.10
111,29.0600,2.10
112,29.0600,2.10
113,29.0600,2.10
114,29.0600,2.10
115,29.0600,2.10
116,29.0600,2.10
117,29.0600,2.10
118,29.0600,2.10
119,29.0600,2.11
120,29.0600,2.14
121,29.0600,2.18
122,29.0600,2.23
123,29.0600,2.31
124,29.0600,2.38
125,29.0600,2.88
126,29.0600,3.56
127,29.0600,4.25
128,29.0600,4.47
129,29.0600,4.65
130,29.0600,4.84
131,29.0600,5.09
132,29.0600,5.35
133,29.0600,5.57
134,29.0600,5.75
135,29.0600,5.93
136,29.0600,6.04
137,29.0600,6.12
138,29.0600,6.19
139,29.0600,6.23
140,29.0600,6.27
141,29.0600,6.28
142,29.0600,5.99
143,29.0600,5.70
144,29.0600,5.43
145,29.0600,5.22
146,29.0600,5.00
147,29.0600,4.86
148,29.0600,4.79
149,29.0600,4.72
150,29.0600,4.53
151,29.0600,4.32
152,29.0600,4.10
153,29.0600,3.99
154,29.0600,3.88
155,29.0600,3.78
156,29.0600,3.71
157,29.0600,3.64
158,29.0600,3.70
159,29.0600,3.92
160,29.0600,4.13
161,29.0600,4.25
162,29.0600,4.32
163,29.0600,4.39
164,29.0600,4.33
165,29.0600,4.26
166,29.0600,4.19
167,29.0600,4.16
168,29.0600,4.12
169,29.0600,4.07
170,29.0600,4.00
171,29.0600,3.93
172,29.0600,3.88
173,29.0600,3.84
174,29.0600,3.81
175,29.0600,3.74
176,29.0600,3.67
177,29.0600,3.61
178,29.0600,3.76
179,29.0600,3.90
180,29.0600,4.03
181,29.0600,4.14
182,29.0600,4.25
183,29.0600,4.36
184,29.0600,4.47
185,29.0600,4.58
