time,speed,grade
0,0.00,-0.51
1,1.50,-1.02
2,3.00,-1.60
3,4.50,-1.91
4,6.00,-2.36
5,7.50,-2.46
6,9.00,-2.07
7,10.50,-1.69
8,12.00,-1.33
9,13.50,-0.86
10,15.00,-0.54
11,12.83,-0.03
12,11.11,0.63
13,11.11,1.18
14,11.11,1.94
15,11.11,2.32
16,11.11,2.19
17,11.11,2.28
18,11.11,2.47
19,11.11,2.72
20,11.11,3.21
21,11.11,3.62
22,11.11,3.86
23,11.11,3.92
24,11.11,3.89
25,11.11,3.85
26,11.11,3.80
27,11.11,3.48
28,11.11,3.22
29,11.11,2.97
30,11.11,2.24
31,11.11,1.52
32,11.11,0.84
33,11.11,0.25
34,11.11,-0.30
35,11.11,-0.86
36,11.11,-1.44
37,11.11,-2.07
38,11.11,-2.82
39,11.11,-3.49
40,11.11,-3.68
41,11.11,-3.74
42,11.11,-3.67
43,11.11,-3.57
44,11.11,-3.50
45,11.11,-3.51
46,11.11,-3.59
47,11.11,-3.70
48,11.11,-3.96
49,11.11,-4.31
50,11.11,-4.65
51,11.11,-4.89
52,11.11,-5.05
53,11.11,-5.17
54,11.11,-5.13
55,11.11,-4.96
56,11.11,-4.69
57,11.11,-4.28
58,11.11,-3.76
59,11.11,-3.20
60,11.11,-2.69
61,11.11,-2.34
62,11.11,-2.14
63,11.11,-2.10
64,11.11,-2.22
65,11.11,-2.38
66,11.11,-2.65
67,11.11,-3.03
68,11.11,-3.52
69,11.11,-3.99
70,11.11,-4.43
71,11.11,-4.85
72,11.11,-5.31
73,11.11,-5.79
74,11.11,-6.24
75,11.11,-6.64
76,11.11,-6.89
77,11.11,-6.95
78,11.11,-6.60
79,11.11,-5.96
80,11.11,-5.25
81,11.11,-4.48
82,11.11,-3.67
83,11.11,-2.83
84,11.11,-2.03
85,11.11,-1.25
86,11.11,-0.53
87,11.11,0.11
88,11.11,0.45
89,11.11,0.50
90,11.11,0.35
91,11.11,-0.31
92,11.11,-1.39
93,11.11,-2.73
94,11.11,-4.40
95,11.11,-6.30
96,11.11,-8.10
97,11.11,-9.91
98,11.11,-11.26
99,11.11,-12.23
100,11.11,-13.10
101,11.11,-13.72
102,11.11,-13.87
103,11.11,-13.69
104,11.11,-13.11
105,11.11,-12.30
106,11.11,-11.58
107,11.11,-10.65
108,11.11,-9.98
109,11.11,-9.48
110,11.11,-8.80
111,11.11,-7.72
112,11.11,-6.50
113,11.11,-5.14
114,11.11,-3.50
115,11.11,-1.47
116,11.11,0.52
117,11.11,2.24
118,11.11,3.67
119,11.11,4.83
120,11.11,5.70
121,11.11,6.30
122,11.11,6.61
123,11.11,6.64
124,11.11,6.25
125,11.11,5.37
126,11.11,4.47
127,11.11,3.57
128,11.11,2.67
129,11.11,1.77
130,11.11,0.87
131,11.11,-0.03
132,11.11,-0.93
133,11.11,-1.83
134,11.11,-2.73
135,11.11,-3.63
136,11.11,-4.37
137,11.11,-4.78
138,11.11,-4.97
139,11.11,-5.06
140,11.11,-5.01
141,11.11,-4.73
142,11.11,-4.22
143,11.11,-3.58
144,11.11,-2.80
145,11.11,-1.87
146,11.11,-0.96
147,11.11,-0.30
148,11.11,0.12
149,11.11,0.44
150,11.11,0.86
151,11.11,1.26
152,11.11,1.67
153,11.11,2.15
154,11.11,2.63
155,11.11,2.78
156,11.61,2.76
157,13.11,2.68
158,14.61,2.78
159,16.11,2.93
160,17.61,2.51
161,19.11,1.42
162,20.61,0.26
163,22.11,-0.97
164,23.61,-2.17
165,25.11,-2.99
166,26.61,-3.61
167,27.78,-4.07
168,27.78,-4.53
169,27.78,-4.88
170,27.78,-4.72
171,27.78,-3.94
172,27.78,-3.13
173,27.78,-2.38
174,27.78,-1.73
175,27.78,-1.02
176,27.78,-0.49
177,27.78,-0.16
178,27.78,-0.02
179,27.78,0.01
180,27.78,0.01
181,27.78,-0.02
182,27.78,-0.30
183,27.78,-0.96
184,27.78,-1.71
185,27.78,-2.78
186,27.78,-3.49
187,27.78,-3.71
188,27.78,-3.39
189,27.78,-2.75
190,27.78,-2.01
191,27.78,-1.20
192,27.78,-0.39
193,27.78,0.59
194,27.78,1.51
195,27.78,2.44
196,27.78,3.01
197,27.78,3.29
198,27.78,3.21
199,27.78,2.92
200,27.78,2.58
201,27.78,2.15
202,27.78,1.70
203,27.78,1.29
204,27.78,0.95
205,27.78,0.57
206,27.78,-0.22
207,27.78,-1.26
208,27.78,-2.44
209,27.78,-3.77
210,27.78,-5.14
211,27.78,-6.53
212,27.78,-7.69
213,27.78,-8.66
214,27.78,-9.45
215,27.78,-10.06
216,27.78,-10.10
217,27.78,-9.94
218,27.78,-9.67
219,27.78,-9.29
220,27.78,-8.91
221,27.78,-8.53
222,27.78,-8.15
223,27.78,-7.76
224,27.78,-7.38
225,27.78,-6.99
226,27.78,-6.61
227,27.78,-6.22
228,27.78,-5.84
229,27.78,-5.50
230,27.78,-5.19
231,27.78,-5.03
232,27.78,-5.02
233,27.78,-5.05
234,27.78,-4.86
235,27.78,-4.35
236,27.78,-3.66
237,27.78,-2.78
238,27.78,-1.73
239,27.78,-0.59
240,27.78,0.78
241,27.78,2.46
242,27.78,4.23
243,27.78,5.98
244,27.78,7.26
245,27.78,8.08
246,27.78,8.58
247,27.78,8.74
248,27.78,8.60
249,27.78,8.26
250,27.78,7.42
251,27.78,6.06
252,27.78,5.13
253,27.78,4.91
254,27.78,5.21
255,27.78,5.49
256,27.78,5.24
257,27.78,4.84
258,27.78,4.40
259,27.78,3.84
260,27.78,3.39
261,27.78,3.24
262,27.78,2.70
263,27.78,1.58
264,27.78,0.57
265,27.78,0.22
266,27.78,0.50
267,27.78,0.87
