time,speed,grade
0,29.06,7.0
1,29.06,7.0
2,29.06,7.0
3,29.06,7.0
4,29.06,7.0
5,29.06,7.0
6,29.06,7.0
7,29.06,7.0
8,29.06,7.0
9,29.06,7.0
10,29.06,7.0
11,29.06,7.0
12,29.06,7.0
13,29.06,7.0
14,29.06,7.0
15,29.06,7.0
16,29.06,7.0
17,29.06,7.0
18,29.06,7.0
19,29.06,7.0
20,29.06,7.0
21,29.06,7.0
22,29.06,7.0
23,29.06,7.0
24,29.06,7.0
25,29.06,7.0
26,29.06,7.0
27,29.06,7.0
28,29.06,7.0
29,29.06,7.0
30,29.06,7.0
31,29.06,7.0
32,29.06,7.0
33,29.06,7.0
34,29.06,7.0
35,29.06,7.0
36,29.06,7.0
37,29.06,7.0
38,29.06,7.0
39,29.06,7.0
40,29.06,7.0
41,29.06,7.0
42,29.06,7.0
43,29.06,7.0
44,29.06,7.0
45,29.06,7.0
46,29.06,7.0
47,29.06,7.0
48,29.06,7.0
49,29.06,7.0
50,29.06,7.0
51,29.06,7.0
52,29.06,7.0
53,29.06,7.0
54,29.06,7.0
55,29.06,7.0
56,29.06,7.0
57,29.06,7.0
58,29.06,7.0
59,29.06,7.0
60,29.06,7.0
61,29.06,7.0
62,29.06,7.0
63,29.06,7.0
64,29.06,7.0
65,29.06,7.0
66,29.06,7.0
67,29.06,7.0
68,29.06,7.0
69,29.06,7.0
70,29.06,7.0
71,29.06,7.0
72,29.06,7.0
73,29.06,7.0
74,29.06,7.0
75,29.06,7.0
76,29.06,7.0
77,29.06,7.0
78,29.06,7.0
79,29.06,7.0
80,29.06,7.0
81,29.06,7.0
82,29.06,7.0
83,29.06,7.0
84,29.06,7.0
85,29.06,7.0
86,29.06,7.0
87,29.06,7.0
88,29.06,7.0
89,29.06,7.0
90,29.06,7.0
91,29.06,7.0
92,29.06,7.0
93,29.06,7.0
94,29.06,7.0
95,29.06,7.0
96,29.06,7.0
97,29.06,7.0
98,29.06,7.0
99,29.06,7.0
100,29.06,7.0
101,29.06,7.0
102,29.06,7.0
103,29.06,7.0
104,29.06,7.0
105,29.06,7.0
106,29.06,7.0
107,29.06,7.0
108,29.06,7.0
109,29.06,7.0
110,29.06,7.0
111,29.06,7.0
112,29.06,7.0
113,29.06,7.0
114,29.06,7.0
115,29.06,7.0
116,29.06,7.0
117,29.06,7.0
118,29.06,7.0
119,29.06,7.0
120,29.06,7.0
121,29.06,7.0
122,29.06,7.0
123,29.06,7.0
124,29.06,7.0
125,29.06,7.0
126,29.06,7.0
127,29.06,7.0
128,29.06,7.0
129,29.06,7.0
130,29.06,7.0
131,29.06,7.0
132,29.06,7.0
133,29.06,7.0
134,29.06,7.0
135,29.06,7.0
136,29.06,7.0
137,29.06,7.0
138,29.06,7.0
139,29.06,7.0
140,29.06,7.0
141,29.06,7.0
142,29.06,7.0
143,29.06,7.0
144,29.06,7.0
145,29.06,7.0
146,29.06,7.0
147,29.06,7.0
148,29.06,7.0
149,29.06,7.0
150,29.06,7.0
151,29.06,7.0
152,29.06,7.0
153,29.06,7.0
154,29.06,7.0
155,29.06,7.0
156,29.06,7.0
157,29.06,7.0
158,29.06,7.0
159,29.06,7.0
160,29.06,7.0
161,29.06,7.0
162,29.06,7.0
163,29.06,7.0
164,29.06,7.0
165,29.06,7.0
166,29.06,7.0
167,29.06,7.0
168,29.06,7.0
169,29.06,7.0
170,29.06,7.0
171,29.06,7.0
172,29.06,7.0
173,29.06,7.0
174,29.06,7.0
175,29.06,7.0
176,29.06,7.0
177,29.06,7.0
178,29.06,7.0
179,29.06,7.0
180,29.06,7.0
181,29.06,7.0
182,29.06,7.0
183,29.06,7.0
184,29.06,7.0
185,29.06,7.0
186,29.06,7.0
187,29.06,7.0
188,29.06,7.0
189,29.06,7.0
190,29.06,7.0
191,29.06,7.0
192,29.06,7.0
193,29.06,7.0
194,29.06,7.0
195,29.06,7.0
196,29.06,7.0
197,29.06,7.0
198,29.06,7.0
199,29.06,7.0
200,29.06,7.0
201,29.06,7.0
202,29.06,7.0
203,29.06,7.0
204,29.06,7.0
205,29.06,7.0
206,29.06,7.0
207,29.06,7.0
208,29.06,7.0
209,29.06,7.0
210,29.06,7.0
211,29.06,7.0
212,29.06,7.0
213,29.06,7.0
214,29.06,7.0
215,29.06,7.0
216,29.06,7.0
217,29.06,7.0
218,29.06,7.0
219,29.06,7.0
220,29.06,7.0
221,29.06,7.0
222,29.06,7.0
223,29.06,7.0
224,29.06,7.0
225,29.06,7.0
226,29.06,7.0
227,29.06,7.0
228,29.06,7.0
229,29.06,7.0
230,29.06,7.0
231,29.06,7.0
232,29.06,7.0
233,29.06,7.0
234,29.06,7.0
235,29.06,7.0
236,29.06,7.0
237,29.06,7.0
238,29.06,7.0
239,29.06,7.0
240,29.06,7.0
241,29.06,7.0
242,29.06,7.0
243,29.06,7.0
244,29.06,7.0
245,29.06,7.0
246,29.06,7.0
247,29.06,7.0
248,29.06,7.0
249,29.06,7.0
250,29.06,7.0
251,29.06,7.0
252,29.06,7.0
253,29.06,7.0
254,29.06,7.0
255,29.06,7.0
256,29.06,7.0
257,29.06,7.0
258,29.06,7.0
259,29.06,7.0
260,29.06,7.0
261,29.06,7.0
262,29.06,7.0
263,29.06,7.0
264,29.06,7.0
265,29.06,7.0
266,29.06,7.0
267,29.06,7.0
268,29.06,7.0
269,29.06,7.0
270,29.06,7.0
271,29.06,7.0
272,29.06,7.0
273,29.06,7.0
274,29.06,7.0
275,29.06,7.0
276,29.06,7.0
277,29.06,7.0
278,29.06,7.0
279,29.06,7.0
280,29.06,7.0
281,29.06,7.0
282,29.06,7.0
283,29.06,7.0
284,29.06,7.0
285,29.06,7.0
286,29.06,7.0
287,29.06,7.0
288,29.06,7.0
289,29.06,7.0
290,29.06,7.0
291,29.06,7.0
292,29.06,7.0
293,29.06,7.0
294,29.06,7.0
295,29.06,7.0
296,29.06,7.0
297,29.06,7.0
298,29.06,7.0
299,29.06,7.0
300,29.06,7.0
301,29.06,7.0
302,29.06,7.0
303,29.06,7.0
304,29.06,7.0
305,29.06,7.0
306,29.06,7.0
307,29.06,7.0
308,29.06,7.0
309,29.06,7.0
310,29.06,7.0
311,29.06,7.0
312,29.06,7.0
313,29.06,7.0
314,29.06,7.0
315,29.06,7.0
316,29.06,7.0
317,29.06,7.0
318,29.06,7.0
319,29.06,7.0
320,29.06,7.0
321,29.06,7.0
322,29.06,7.0
323,29.06,7.0
324,29.06,7.0
325,29.06,7.0
326,29.06,7.0
327,29.06,7.0
328,29.06,7.0
329,29.06,7.0
330,29.06,7.0
331,29.06,7.0
332,29.06,7.0
333,29.06,7.0
334,29.06,7.0
335,29.06,7.0
336,29.06,7.0
337,29.06,7.0
338,29.06,7.0
339,29.06,7.0
340,29.06,7.0
341,29.06,7.0
342,29.06,7.0
343,29.06,7.0
344,29.06,7.0
345,29.06,7.0
346,29.06,7.0
347,29.06,7.0
348,29.06,7.0
349,29.06,7.0
350,29.06,7.0
351,29.06,7.0
352,29.06,7.0
353,29.06,7.0
354,29.06,7.0
355,29.06,7.0
356,29.06,7.0
