time,speed,grade
0,0.00,2.0
1,0.89,2.0
2,1.79,2.0
3,2.68,2.0
4,3.58,2.0
5,4.47,2.0
6,5.36,2.0
7,6.26,2.0
8,7.15,2.0
9,8.05,2.0
10,8.94,2.0
11,9.83,2.0
12,10.73,2.0
13,11.62,2.0
14,12.52,2.0
15,13.41,2.0
16,14.30,2.0
17,15.20,2.0
18,16.09,2.0
19,16.99,2.0
20,17.88,2.0
21,18.77,2.0
22,19.67,2.0
23,20.56,2.0
24,21.46,2.0
25,22.35,2.0
26,23.24,2.0
27,24.14,2.0
28,25.03,2.0
29,25.93,2.0
30,26.82,6.0
31,26.82,5.9
32,26.82,5.79
33,26.82,5.69
34,26.82,5.59
35,26.82,5.5
36,26.82,5.41
37,26.82,5.33
38,26.82,5.26
39,26.82,5.19
40,26.82,5.13
41,26.82,5.09
42,26.82,5.05
43,26.82,5.02
44,26.82,5.01
45,26.82,5.0
46,26.82,5.01
47,26.82,5.02
48,26.82,5.05
49,26.82,5.09
50,26.82,5.13
51,26.82,5.19
52,26.82,5.26
53,26.82,5.33
54,26.82,5.41
55,26.82,5.5
56,26.82,5.59
57,26.82,5.69
58,26.82,5.79
59,26.82,5.9
60,26.82,6.0
61,26.82,6.1
62,26.82,6.21
63,26.82,6.31
64,26.82,6.41
65,26.82,6.5
66,26.82,6.59
67,26.82,6.67
68,26.82,6.74
69,26.82,6.81
70,26.82,6.87
71,26.82,6.91
72,26.82,6.95
73,26.82,6.98
74,26.82,6.99
75,26.82,7.0
76,26.82,6.99
77,26.82,6.98
78,26.82,6.95
79,26.82,6.91
80,26.82,6.87
81,26.82,6.81
82,26.82,6.74
83,26.82,6.67
84,26.82,6.59
85,26.82,6.5
86,26.82,6.41
87,26.82,6.31
88,26.82,6.21
89,26.82,6.1
90,26.82,6.0
91,26.82,5.9
92,26.82,5.79
93,26.82,5.69
94,26.82,5.59
95,26.82,5.5
96,26.82,5.41
97,26.82,5.33
98,26.82,5.26
99,26.82,5.19
100,26.82,5.13
101,26.82,5.09
102,26.82,5.05
103,26.82,5.02
104,26.82,5.01
105,26.82,5.0
106,26.82,5.01
107,26.82,5.02
108,26.82,5.05
109,26.82,5.09
110,26.82,5.13
111,26.82,5.19
112,26.82,5.26
113,26.82,5.33
114,26.82,5.41
115,26.82,5.5
116,26.82,5.59
117,26.82,5.69
118,26.82,5.79
119,26.82,5.9
120,26.82,6.0
121,26.82,6.1
122,26.82,6.21
123,26.82,6.31
124,26.82,6.41
125,26.82,6.5
126,26.82,6.59
127,26.82,6.67
128,26.82,6.74
129,26.82,6.81
130,26.82,6.87
131,26.82,6.91
132,26.82,6.95
133,26.82,6.98
134,26.82,6.99
135,26.82,7.0
136,26.82,6.99
137,26.82,6.98
138,26.82,6.95
139,26.82,6.91
140,26.82,6.87
141,26.82,6.81
142,26.82,6.74
143,26.82,6.67
144,26.82,6.59
145,26.82,6.5
146,26.82,6.41
147,26.82,6.31
148,26.82,6.21
149,26.82,6.1
150,26.82,6.0
151,26.82,5.9
152,26.82,5.79
153,26.82,5.69
154,26.82,5.59
155,26.82,5.5
156,26.82,5.41
157,26.82,5.33
158,26.82,5.26
159,26.82,5.19
160,26.82,5.13
161,26.82,5.09
162,26.82,5.05
163,26.82,5.02
164,26.82,5.01
165,26.82,5.0
166,26.82,5.01
167,26.82,5.02
168,26.82,5.05
169,26.82,5.09
170,26.82,5.13
171,26.82,5.19
172,26.82,5.26
173,26.82,5.33
174,26.82,5.41
175,26.82,5.5
176,26.82,5.59
177,26.82,5.69
178,26.82,5.79
179,26.82,5.9
180,26.82,6.0
181,26.82,6.1
182,26.82,6.21
183,26.82,6.31
184,26.82,6.41
185,26.82,6.5
186,26.82,6.59
187,26.82,6.67
188,26.82,6.74
189,26.82,6.81
190,26.82,6.87
191,26.82,6.91
192,26.82,6.95
193,26.82,6.98
194,26.82,6.99
195,26.82,7.0
196,26.82,6.99
197,26.82,6.98
198,26.82,6.95
199,26.82,6.91
200,26.82,6.87
201,26.82,6.81
202,26.82,6.74
203,26.82,6.67
204,26.82,6.59
205,26.82,6.5
206,26.82,6.41
207,26.82,6.31
208,26.82,6.21
209,26.82,6.1
210,26.82,6.0
211,26.82,5.9
212,26.82,5.79
213,26.82,5.69
214,26.82,5.59
215,26.82,5.5
216,26.82,5.41
217,26.82,5.33
218,26.82,5.26
219,26.82,5.19
220,26.82,5.13
221,26.82,5.09
222,26.82,5.05
223,26.82,5.02
224,26.82,5.01
225,26.82,5.0
226,26.82,5.01
227,26.82,5.02
228,26.82,5.05
229,26.82,5.09
230,26.82,5.13
231,26.82,5.19
232,26.82,5.26
233,26.82,5.33
234,26.82,5.41
235,26.82,5.5
236,26.82,5.59
237,26.82,5.69
238,26.82,5.79
239,26.82,5.9
240,26.82,6.0
241,26.82,6.1
242,26.82,6.21
243,26.82,6.31
244,26.82,6.41
245,26.82,6.5
246,26.82,6.59
247,26.82,6.67
248,26.82,6.74
249,26.82,6.81
250,26.82,6.87
251,26.82,6.91
252,26.82,6.95
253,26.82,6.98
254,26.82,6.99
255,26.82,7.0
256,26.82,6.99
257,26.82,6.98
258,26.82,6.95
259,26.82,6.91
260,26.82,6.87
261,26.82,6.81
262,26.82,6.74
263,26.82,6.67
264,26.82,6.59
265,26.82,6.5
266,26.82,6.41
267,26.82,6.31
268,26.82,6.21
269,26.82,6.1
270,26.82,6.0
271,26.82,5.9
272,26.82,5.79
273,26.82,5.69
274,26.82,5.59
275,26.82,5.5
276,26.82,5.41
277,26.82,5.33
278,26.82,5.26
279,26.82,5.19
280,26.82,5.13
281,26.82,5.09
282,26.82,5.05
283,26.82,5.02
284,26.82,5.01
285,26.82,5.0
286,26.82,5.01
287,26.82,5.02
288,26.82,5.05
289,26.82,5.09
290,26.82,5.13
291,26.82,5.19
292,26.82,5.26
293,26.82,5.33
294,26.82,5.41
295,26.82,5.5
296,26.82,5.59
297,26.82,5.69
298,26.82,5.79
299,26.82,5.9
300,26.82,6.0
301,26.82,6.1
302,26.82,6.21
303,26.82,6.31
304,26.82,6.41
305,26.82,6.5
306,26.82,6.59
307,26.82,6.67
308,26.82,6.74
309,26.82,6.81
310,26.82,6.87
311,26.82,6.91
312,26.82,6.95
313,26.82,6.98
314,26.82,6.99
315,26.82,7.0
316,26.82,6.99
317,26.82,6.98
318,26.82,6.95
319,26.82,6.91
320,26.82,6.87
321,26.82,6.81
322,26.82,6.74
323,26.82,6.67
324,26.82,6.59
325,26.82,6.5
326,26.82,6.41
327,26.82,6.31
328,26.82,6.21
329,26.82,6.1
330,26.82,6.0
331,26.82,5.9
332,26.82,5.79
333,26.82,5.69
334,26.82,5.59
335,26.82,5.5
336,26.82,5.41
337,26.82,5.33
338,26.82,5.26
339,26.82,5.19
340,26.82,5.13
341,26.82,5.09
342,26.82,5.05
343,26.82,5.02
344,26.82,5.01
345,26.82,5.0
346,26.82,5.01
347,26.82,5.02
348,26.82,5.05
349,26.82,5.09
350,26.82,5.13
351,26.82,5.19
352,26.82,5.26
353,26.82,5.33
354,26.82,5.41
355,26.82,5.5
356,26.82,5.59
357,26.82,5.69
358,26.82,5.79
359,26.82,5.9
360,26.82,6.0
361,26.82,6.1
362,26.82,6.21
363,26.82,6.31
364,26.82,6.41
365,26.82,6.5
366,26.82,6.59
367,26.82,6.67
368,26.82,6.74
369,26.82,6.81
370,26.82,6.87
371,26.82,6.91
372,26.82,6.95
373,26.82,6.98
374,26.82,6.99
375,26.82,7.0
376,26.82,6.99
377,26.82,6.98
378,26.82,6.95
379,26.82,6.91
380,26.82,6.87
381,26.82,6.81
382,26.82,6.74
383,26.82,6.67
384,26.82,6.59
385,26.82,6.5
386,26.82,6.41
387,26.82,6.31
388,26.82,6.21
389,26.82,6.1
390,26.82,6.0
391,26.82,5.9
392,26.82,5.79
393,26.82,5.69
394,26.82,5.59
395,26.82,5.5
396,26.82,5.41
397,26.82,5.33
398,26.82,5.26
399,26.82,5.19
400,26.82,5.13
401,26.82,5.09
402,26.82,5.05
403,26.82,5.02
404,26.82,5.01
405,26.82,5.0
406,26.82,5.01
407,26.82,5.02
408,26.82,5.05
409,26.82,5.09
410,26.82,5.13
411,26.82,5.19
412,26.82,5.26
413,26.82,5.33
414,26.82,5.41
415,26.82,5.5
416,26.82,5.59
417,26.82,5.69
418,26.82,5.79
419,26.82,5.9
420,26.82,6.0
421,26.82,6.1
422,26.82,6.21
423,26.82,6.31
424,26.82,6.41
425,26.82,6.5
426,26.82,6.59
427,26.82,6.67
428,26.82,6.74
429,26.82,6.81
430,26.82,6.87
431,26.82,6.91
432,26.82,6.95
433,26.82,6.98
434,26.82,6.99
435,26.82,7.0
436,26.82,6.99
437,26.82,6.98
438,26.82,6.95
439,26.82,6.91
440,26.82,6.87
441,26.82,6.81
442,26.82,6.74
443,26.82,6.67
444,26.82,6.59
445,26.82,6.5
446,26.82,6.41
447,26.82,6.31
448,26.82,6.21
449,26.82,6.1
450,26.82,6.0
451,26.82,5.9
452,26.82,5.79
453,26.82,5.69
