time,speed,grade
0,0.00,2.0
1,0.78,2.0
2,1.56,2.0
3,2.35,2.0
4,3.13,2.0
5,3.91,2.0
6,4.69,2.0
7,5.48,2.0
8,6.26,2.0
9,7.04,2.0
10,7.82,2.0
11,8.61,2.0
12,9.39,2.0
13,10.17,2.0
14,10.95,2.0
15,11.73,2.0
16,12.52,2.0
17,13.30,2.0
18,14.08,2.0
19,14.86,2.0
20,15.65,2.0
21,16.43,2.0
22,17.21,2.0
23,17.99,2.0
24,18.78,2.0
25,19.56,2.0
26,20.34,2.0
27,21.12,2.0
28,21.90,2.0
29,22.69,2.0
30,23.47,2.0
31,24.25,2.0
32,25.03,2.0
33,25.82,2.0
34,26.60,2.0
35,27.38,2.0
36,28.16,2.0
37,28.95,2.0
38,29.73,2.0
39,30.51,2.0
40,31.29,5.13
41,31.29,5.09
42,31.29,5.05
43,31.29,5.02
44,31.29,5.01
45,31.29,5.0
46,31.29,5.01
47,31.29,5.02
48,31.29,5.05
49,31.29,5.09
50,31.29,5.13
51,31.29,5.19
52,31.29,5.26
53,31.29,5.33
54,31.29,5.41
55,31.29,5.5
56,31.29,5.59
57,31.29,5.69
58,31.29,5.79
59,31.29,5.9
60,31.29,6.0
61,31.29,6.1
62,31.29,6.21
63,31.29,6.31
64,31.29,6.41
65,31.29,6.5
66,31.29,6.59
67,31.29,6.67
68,31.29,6.74
69,31.29,6.81
70,31.29,6.87
71,31.29,6.91
72,31.29,6.95
73,31.29,6.98
74,31.29,6.99
75,31.29,7.0
76,31.29,6.99
77,31.29,6.98
78,31.29,6.95
79,31.29,6.91
80,31.29,6.87
81,31.29,6.81
82,31.29,6.74
83,31.29,6.67
84,31.29,6.59
85,31.29,6.5
86,31.29,6.41
87,31.29,6.31
88,31.29,6.21
89,31.29,6.1
90,31.29,6.0
91,31.29,5.9
92,31.29,5.79
93,31.29,5.69
94,31.29,5.59
95,31.29,5.5
96,31.29,5.41
97,31.29,5.33
98,31.29,5.26
99,31.29,5.19
100,31.29,5.13
101,31.29,5.09
102,31.29,5.05
103,31.29,5.02
104,31.29,5.01
105,31.29,5.0
106,31.29,5.01
107,31.29,5.02
108,31.29,5.05
109,31.29,5.09
110,31.29,5.13
111,31.29,5.19
112,31.29,5.26
113,31.29,5.33
114,31.29,5.41
115,31.29,5.5
116,31.29,5.59
117,31.29,5.69
118,31.29,5.79
119,31.29,5.9
120,31.29,6.0
121,31.29,6.1
122,31.29,6.21
123,31.29,6.31
124,31.29,6.41
125,31.29,6.5
126,31.29,6.59
127,31.29,6.67
128,31.29,6.74
129,31.29,6.81
130,31.29,6.87
131,31.29,6.91
132,31.29,6.95
133,31.29,6.98
134,31.29,6.99
135,31.29,7.0
136,31.29,6.99
137,31.29,6.98
138,31.29,6.95
139,31.29,6.91
140,31.29,6.87
141,31.29,6.81
142,31.29,6.74
143,31.29,6.67
144,31.29,6.59
145,31.29,6.5
146,31.29,6.41
147,31.29,6.31
148,31.29,6.21
149,31.29,6.1
150,31.29,6.0
151,31.29,5.9
152,31.29,5.79
153,31.29,5.69
154,31.29,5.59
155,31.29,5.5
156,31.29,5.41
157,31.29,5.33
158,31.29,5.26
159,31.29,5.19
160,31.29,5.13
161,31.29,5.09
